strategy,fold,MAE,RMSE,R2,bias,pred_actual_mean_ratio,scale,year1_scale,year2_scale,window,fold_multiplier,w
ensemble_scale,D,892326.542421233,1176964.119949726,0.505559340543343,-735225.9514554795,0.7705853897767615,0.875,,,,,0.0
ensemble_scale,C,938557.4736398536,1244621.8565629718,0.5022644141568562,-228638.8751718463,0.928149734377382,0.9,,,,,0.0
ensemble_scale,D,850610.1701616438,1133611.9130001932,0.5413128934826336,-664666.9409342465,0.7926021151989546,0.9,,,,,0.0
ensemble_scale,C,943627.3675936928,1255027.0240386955,0.4939073847791625,-146596.68591270555,0.9539316714434204,0.925,,,,,0.0
ensemble_scale,D,812901.9557554794,1094483.167042305,0.5724313020876601,-594107.9304130136,0.8146188406211479,0.925,,,,,0.0
ensemble_scale,C,952933.8599149908,1272815.5848633556,0.47945915338343315,-64554.496653565075,0.9797136085094587,0.95,,,,,0.0
ensemble_scale,D,780592.1456397261,1060045.678533724,0.5989145663584223,-523548.919891781,0.8366355660433409,0.95,,,,,0.0
ensemble_scale,C,966312.7425553015,1297683.9414299326,0.45891971996966774,17487.692605575787,1.0054955455754973,0.975,,,,,0.0
ensemble_scale,D,755263.065419863,1030769.7522789284,0.6207626862949207,-452989.90937054803,0.8586522914655341,0.975,,,,,0.0
ensemble_scale,C,984030.925191956,1329234.7901667564,0.4322890845378662,99529.88186471668,1.0312774826415354,1.0,,,,,0.0
ensemble_scale,D,736439.6315068493,1007105.6190114199,0.6379756618971549,-382430.8988493151,0.8806690168877273,1.0,,,,,0.0
ensemble_scale,C,1007917.328858775,1367005.508293457,0.39956724708802893,181572.0711238571,1.057059419707574,1.025,,,,,0.0
ensemble_scale,D,720010.2562321918,989456.0007760118,0.6505534931651251,-311871.8883280825,0.9026857423099204,1.025,,,,,0.0
ensemble_scale,C,1036449.6737778794,1410496.511442018,0.3607542076201554,263614.2603829983,1.0828413567736124,1.05,,,,,0.0
ensemble_scale,D,707172.4578589041,978146.5284378483,0.6584961800988312,-241312.87780684922,0.9247024677321137,1.05,,,,,0.0
ensemble_scale,C,1092589.9170945154,1427209.926068632,0.34551520660100155,-914320.5281610604,0.7126727781388519,0.7,,,,,0.1
ensemble_scale,D,1264181.872149863,1558895.8632743023,0.13259496402247684,-1226895.8029043835,0.6171682707191813,0.7,,,,,0.1
ensemble_scale,C,1049635.1710842322,1379621.8386344686,0.388433108132078,-833326.3438632084,0.7381253773580965,0.725,,,,,0.1
ensemble_scale,D,1203575.1675414382,1496122.6730099178,0.20104533097729993,-1156256.677304589,0.6392099946734378,0.725,,,,,0.1
